batch_size:128
dataset:four-sin
device:cuda:1
dis_span:256
dropout_rate:0.3
gpu:1
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.0001
layer_num:4
lr:0.001
maxlen:50
num_blocks:3
num_epochs:121
num_heads:2
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:38, time: 162.313086(s), Recall (@2: 0.1442, @5: 0.2182, @10: 0.2915), NDCG (@2: 0.1243, @5: 0.1577, @10: 0.1813)
Test epoch:38, time: 162.313086(s), Recall (@2: 0.1518, @5: 0.2301, @10: 0.3029), NDCG (@2: 0.1321, @5: 0.1673, @10: 0.1909)

Valid epoch:40, time: 170.846968(s), Recall (@2: 0.1436, @5: 0.2236, @10: 0.2928), NDCG (@2: 0.1241, @5: 0.1600, @10: 0.1823)
Test epoch:40, time: 170.846968(s), Recall (@2: 0.1552, @5: 0.2363, @10: 0.3116), NDCG (@2: 0.1357, @5: 0.1722, @10: 0.1967)

Valid epoch:42, time: 179.381188(s), Recall (@2: 0.1427, @5: 0.2201, @10: 0.2900), NDCG (@2: 0.1234, @5: 0.1582, @10: 0.1806)
Test epoch:42, time: 179.381188(s), Recall (@2: 0.1550, @5: 0.2333, @10: 0.3040), NDCG (@2: 0.1343, @5: 0.1694, @10: 0.1922)

Valid epoch:44, time: 187.963381(s), Recall (@2: 0.1440, @5: 0.2247, @10: 0.2937), NDCG (@2: 0.1236, @5: 0.1600, @10: 0.1823)
Test epoch:44, time: 187.963381(s), Recall (@2: 0.1593, @5: 0.2404, @10: 0.3090), NDCG (@2: 0.1384, @5: 0.1744, @10: 0.1966)

Valid epoch:46, time: 196.562644(s), Recall (@2: 0.1445, @5: 0.2245, @10: 0.2958), NDCG (@2: 0.1231, @5: 0.1592, @10: 0.1821)
Test epoch:46, time: 196.562644(s), Recall (@2: 0.1591, @5: 0.2376, @10: 0.3150), NDCG (@2: 0.1388, @5: 0.1741, @10: 0.1992)

Valid epoch:48, time: 205.067300(s), Recall (@2: 0.1432, @5: 0.2255, @10: 0.2967), NDCG (@2: 0.1227, @5: 0.1598, @10: 0.1827)
Test epoch:48, time: 205.067300(s), Recall (@2: 0.1570, @5: 0.2439, @10: 0.3146), NDCG (@2: 0.1375, @5: 0.1766, @10: 0.1995)

Valid epoch:50, time: 213.712144(s), Recall (@2: 0.1410, @5: 0.2251, @10: 0.2958), NDCG (@2: 0.1220, @5: 0.1604, @10: 0.1833)
Test epoch:50, time: 213.712144(s), Recall (@2: 0.1600, @5: 0.2467, @10: 0.3189), NDCG (@2: 0.1402, @5: 0.1791, @10: 0.2024)

Valid epoch:52, time: 222.304323(s), Recall (@2: 0.1412, @5: 0.2242, @10: 0.2952), NDCG (@2: 0.1228, @5: 0.1603, @10: 0.1831)
Test epoch:52, time: 222.304323(s), Recall (@2: 0.1572, @5: 0.2370, @10: 0.3088), NDCG (@2: 0.1370, @5: 0.1726, @10: 0.1957)

Valid epoch:54, time: 230.795436(s), Recall (@2: 0.1401, @5: 0.2288, @10: 0.2954), NDCG (@2: 0.1220, @5: 0.1620, @10: 0.1833)
Test epoch:54, time: 230.795436(s), Recall (@2: 0.1557, @5: 0.2430, @10: 0.3163), NDCG (@2: 0.1369, @5: 0.1758, @10: 0.1994)

Valid epoch:56, time: 239.392819(s), Recall (@2: 0.1404, @5: 0.2266, @10: 0.2930), NDCG (@2: 0.1227, @5: 0.1618, @10: 0.1832)
Test epoch:56, time: 239.392819(s), Recall (@2: 0.1585, @5: 0.2389, @10: 0.3133), NDCG (@2: 0.1386, @5: 0.1747, @10: 0.1986)

Valid epoch:58, time: 248.007863(s), Recall (@2: 0.1445, @5: 0.2277, @10: 0.2993), NDCG (@2: 0.1254, @5: 0.1630, @10: 0.1861)
Test epoch:58, time: 248.007863(s), Recall (@2: 0.1619, @5: 0.2443, @10: 0.3161), NDCG (@2: 0.1423, @5: 0.1791, @10: 0.2023)

Valid epoch:60, time: 256.556397(s), Recall (@2: 0.1408, @5: 0.2249, @10: 0.2939), NDCG (@2: 0.1226, @5: 0.1602, @10: 0.1824)
Test epoch:60, time: 256.556397(s), Recall (@2: 0.1576, @5: 0.2335, @10: 0.3051), NDCG (@2: 0.1376, @5: 0.1716, @10: 0.1946)

Valid epoch:62, time: 265.065166(s), Recall (@2: 0.1436, @5: 0.2264, @10: 0.2934), NDCG (@2: 0.1250, @5: 0.1623, @10: 0.1839)
Test epoch:62, time: 265.065166(s), Recall (@2: 0.1578, @5: 0.2378, @10: 0.3096), NDCG (@2: 0.1381, @5: 0.1738, @10: 0.1970)

Valid epoch:64, time: 273.675650(s), Recall (@2: 0.1451, @5: 0.2298, @10: 0.2991), NDCG (@2: 0.1257, @5: 0.1637, @10: 0.1860)
Test epoch:64, time: 273.675650(s), Recall (@2: 0.1680, @5: 0.2469, @10: 0.3215), NDCG (@2: 0.1456, @5: 0.1810, @10: 0.2050)

Valid epoch:66, time: 282.193471(s), Recall (@2: 0.1410, @5: 0.2270, @10: 0.2956), NDCG (@2: 0.1226, @5: 0.1613, @10: 0.1835)
Test epoch:66, time: 282.193471(s), Recall (@2: 0.1628, @5: 0.2385, @10: 0.3111), NDCG (@2: 0.1414, @5: 0.1752, @10: 0.1988)

