batch_size:128
dataset:four-sin
device:cuda:1
dis_span:256
dropout_rate:0.3
gpu:1
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.0001
lr:0.001
maxlen:50
num_blocks:3
num_epochs:121
num_heads:2
state_dict_path:None
time_span:256
train_dir:default

Valid epoch:38, time: 162.129138(s), NDCG (@2: 0.1247, @5: 0.1606, @10: 0.1841), Recall (@2: 0.1449, @5: 0.2242, @10: 0.2971)
Test epoch:38, time: 162.129138(s), NDCG (@2: 0.1315, @5: 0.1680, @10: 0.1911), Recall (@2: 0.1501, @5: 0.2318, @10: 0.3040)

Valid epoch:40, time: 170.639360(s), NDCG (@2: 0.1265, @5: 0.1637, @10: 0.1860), Recall (@2: 0.1466, @5: 0.2298, @10: 0.2993)
Test epoch:40, time: 170.639360(s), NDCG (@2: 0.1353, @5: 0.1727, @10: 0.1977), Recall (@2: 0.1548, @5: 0.2385, @10: 0.3159)

Valid epoch:42, time: 179.145205(s), NDCG (@2: 0.1222, @5: 0.1601, @10: 0.1830), Recall (@2: 0.1423, @5: 0.2264, @10: 0.2973)
Test epoch:42, time: 179.145205(s), NDCG (@2: 0.1343, @5: 0.1704, @10: 0.1933), Recall (@2: 0.1544, @5: 0.2354, @10: 0.3068)

Valid epoch:44, time: 187.863327(s), NDCG (@2: 0.1249, @5: 0.1621, @10: 0.1855), Recall (@2: 0.1460, @5: 0.2281, @10: 0.3006)
Test epoch:44, time: 187.863327(s), NDCG (@2: 0.1395, @5: 0.1743, @10: 0.1971), Recall (@2: 0.1602, @5: 0.2389, @10: 0.3090)

Valid epoch:46, time: 196.374774(s), NDCG (@2: 0.1251, @5: 0.1627, @10: 0.1857), Recall (@2: 0.1455, @5: 0.2288, @10: 0.3001)
Test epoch:46, time: 196.374774(s), NDCG (@2: 0.1393, @5: 0.1766, @10: 0.1995), Recall (@2: 0.1596, @5: 0.2430, @10: 0.3135)

Valid epoch:48, time: 204.879166(s), NDCG (@2: 0.1228, @5: 0.1610, @10: 0.1839), Recall (@2: 0.1438, @5: 0.2285, @10: 0.2995)
Test epoch:48, time: 204.879166(s), NDCG (@2: 0.1378, @5: 0.1769, @10: 0.1997), Recall (@2: 0.1580, @5: 0.2456, @10: 0.3159)

Valid epoch:50, time: 213.389132(s), NDCG (@2: 0.1234, @5: 0.1627, @10: 0.1852), Recall (@2: 0.1442, @5: 0.2311, @10: 0.3010)
Test epoch:50, time: 213.389132(s), NDCG (@2: 0.1403, @5: 0.1794, @10: 0.2030), Recall (@2: 0.1600, @5: 0.2469, @10: 0.3200)

