anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:1
dis_span:256
dropout_rate:0.2
gpu:1
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:2
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:38, time: 129.954967(s), Recall (@2: 0.1389, @5: 0.2238, @10: 0.3038), NDCG (@2: 0.1197, @5: 0.1580, @10: 0.1839)
Test epoch:38, time: 129.954967(s), Recall (@2: 0.1505, @5: 0.2374, @10: 0.3083), NDCG (@2: 0.1324, @5: 0.1715, @10: 0.1944)

Valid epoch:40, time: 136.772949(s), Recall (@2: 0.1386, @5: 0.2232, @10: 0.3016), NDCG (@2: 0.1194, @5: 0.1574, @10: 0.1828)
Test epoch:40, time: 136.772949(s), Recall (@2: 0.1451, @5: 0.2382, @10: 0.3085), NDCG (@2: 0.1278, @5: 0.1695, @10: 0.1923)

Valid epoch:42, time: 143.448118(s), Recall (@2: 0.1380, @5: 0.2216, @10: 0.2969), NDCG (@2: 0.1206, @5: 0.1578, @10: 0.1821)
Test epoch:42, time: 143.448118(s), Recall (@2: 0.1511, @5: 0.2313, @10: 0.3077), NDCG (@2: 0.1318, @5: 0.1676, @10: 0.1923)

Valid epoch:44, time: 150.025836(s), Recall (@2: 0.1373, @5: 0.2184, @10: 0.2930), NDCG (@2: 0.1183, @5: 0.1549, @10: 0.1791)
Test epoch:44, time: 150.025836(s), Recall (@2: 0.1498, @5: 0.2339, @10: 0.3098), NDCG (@2: 0.1315, @5: 0.1693, @10: 0.1939)

Valid epoch:46, time: 157.169752(s), Recall (@2: 0.1371, @5: 0.2210, @10: 0.2950), NDCG (@2: 0.1182, @5: 0.1557, @10: 0.1797)
Test epoch:46, time: 157.169752(s), Recall (@2: 0.1451, @5: 0.2290, @10: 0.3006), NDCG (@2: 0.1277, @5: 0.1654, @10: 0.1886)

Valid epoch:48, time: 164.162931(s), Recall (@2: 0.1332, @5: 0.2204, @10: 0.2934), NDCG (@2: 0.1157, @5: 0.1547, @10: 0.1784)
Test epoch:48, time: 164.162931(s), Recall (@2: 0.1507, @5: 0.2393, @10: 0.3085), NDCG (@2: 0.1318, @5: 0.1711, @10: 0.1933)

Valid epoch:50, time: 171.203447(s), Recall (@2: 0.1371, @5: 0.2195, @10: 0.2969), NDCG (@2: 0.1179, @5: 0.1549, @10: 0.1799)
