anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:2
dis_span:256
dropout_rate:0.2
gpu:2
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default

Valid epoch:38, time: 159.189619(s), NDCG (@2: 0.1154, @5: 0.1534, @10: 0.1796), Recall (@2: 0.1326, @5: 0.2173, @10: 0.2982)
Test epoch:38, time: 159.189619(s), NDCG (@2: 0.1284, @5: 0.1666, @10: 0.1900), Recall (@2: 0.1468, @5: 0.2318, @10: 0.3042)

Valid epoch:40, time: 167.286297(s), NDCG (@2: 0.1183, @5: 0.1569, @10: 0.1810), Recall (@2: 0.1369, @5: 0.2229, @10: 0.2980)
Test epoch:40, time: 167.286297(s), NDCG (@2: 0.1318, @5: 0.1708, @10: 0.1952), Recall (@2: 0.1514, @5: 0.2378, @10: 0.3135)

Valid epoch:42, time: 175.380108(s), NDCG (@2: 0.1187, @5: 0.1583, @10: 0.1815), Recall (@2: 0.1363, @5: 0.2249, @10: 0.2971)
Test epoch:42, time: 175.380108(s), NDCG (@2: 0.1327, @5: 0.1701, @10: 0.1960), Recall (@2: 0.1514, @5: 0.2344, @10: 0.3148)

Valid epoch:44, time: 183.561256(s), NDCG (@2: 0.1198, @5: 0.1557, @10: 0.1789), Recall (@2: 0.1389, @5: 0.2188, @10: 0.2909)
Test epoch:44, time: 183.561256(s), NDCG (@2: 0.1268, @5: 0.1643, @10: 0.1887), Recall (@2: 0.1445, @5: 0.2283, @10: 0.3038)

Valid epoch:46, time: 192.033607(s), NDCG (@2: 0.1197, @5: 0.1548, @10: 0.1800), Recall (@2: 0.1391, @5: 0.2176, @10: 0.2954)
Test epoch:46, time: 192.033607(s), NDCG (@2: 0.1289, @5: 0.1648, @10: 0.1873), Recall (@2: 0.1460, @5: 0.2262, @10: 0.2965)

Valid epoch:48, time: 200.397719(s), NDCG (@2: 0.1152, @5: 0.1533, @10: 0.1782), Recall (@2: 0.1332, @5: 0.2171, @10: 0.2941)
Test epoch:48, time: 200.397719(s), NDCG (@2: 0.1346, @5: 0.1681, @10: 0.1917), Recall (@2: 0.1542, @5: 0.2292, @10: 0.3021)

Valid epoch:50, time: 208.794522(s), NDCG (@2: 0.1196, @5: 0.1560, @10: 0.1798), Recall (@2: 0.1373, @5: 0.2182, @10: 0.2917)
Test epoch:50, time: 208.794522(s), NDCG (@2: 0.1336, @5: 0.1703, @10: 0.1931), Recall (@2: 0.1527, @5: 0.2350, @10: 0.3060)

Valid epoch:52, time: 217.451594(s), NDCG (@2: 0.1175, @5: 0.1539, @10: 0.1790), Recall (@2: 0.1358, @5: 0.2167, @10: 0.2945)
Test epoch:52, time: 217.451594(s), NDCG (@2: 0.1304, @5: 0.1671, @10: 0.1878), Recall (@2: 0.1492, @5: 0.2311, @10: 0.2952)

Valid epoch:54, time: 225.475590(s), NDCG (@2: 0.1174, @5: 0.1549, @10: 0.1801), Recall (@2: 0.1363, @5: 0.2195, @10: 0.2978)
Test epoch:54, time: 225.475590(s), NDCG (@2: 0.1280, @5: 0.1660, @10: 0.1884), Recall (@2: 0.1455, @5: 0.2305, @10: 0.2997)

Valid epoch:56, time: 233.714968(s), NDCG (@2: 0.1196, @5: 0.1574, @10: 0.1805), Recall (@2: 0.1384, @5: 0.2227, @10: 0.2941)
Test epoch:56, time: 233.714968(s), NDCG (@2: 0.1292, @5: 0.1637, @10: 0.1866), Recall (@2: 0.1477, @5: 0.2247, @10: 0.2952)

Valid epoch:58, time: 241.632027(s), NDCG (@2: 0.1195, @5: 0.1567, @10: 0.1795), Recall (@2: 0.1391, @5: 0.2223, @10: 0.2924)
Test epoch:58, time: 241.632027(s), NDCG (@2: 0.1250, @5: 0.1623, @10: 0.1844), Recall (@2: 0.1417, @5: 0.2245, @10: 0.2928)

Valid epoch:60, time: 249.926524(s), NDCG (@2: 0.1185, @5: 0.1557, @10: 0.1797), Recall (@2: 0.1369, @5: 0.2197, @10: 0.2939)
Test epoch:60, time: 249.926524(s), NDCG (@2: 0.1253, @5: 0.1642, @10: 0.1867), Recall (@2: 0.1404, @5: 0.2273, @10: 0.2967)

Valid epoch:62, time: 257.949175(s), NDCG (@2: 0.1156, @5: 0.1526, @10: 0.1781), Recall (@2: 0.1320, @5: 0.2143, @10: 0.2932)
Test epoch:62, time: 257.949175(s), NDCG (@2: 0.1274, @5: 0.1619, @10: 0.1861), Recall (@2: 0.1445, @5: 0.2212, @10: 0.2960)

Valid epoch:64, time: 266.020366(s), NDCG (@2: 0.1166, @5: 0.1531, @10: 0.1782), Recall (@2: 0.1339, @5: 0.2150, @10: 0.2930)
Test epoch:64, time: 266.020366(s), NDCG (@2: 0.1288, @5: 0.1637, @10: 0.1860), Recall (@2: 0.1458, @5: 0.2234, @10: 0.2928)

Valid epoch:66, time: 274.119299(s), NDCG (@2: 0.1171, @5: 0.1555, @10: 0.1802), Recall (@2: 0.1358, @5: 0.2208, @10: 0.2975)
Test epoch:66, time: 274.119299(s), NDCG (@2: 0.1252, @5: 0.1649, @10: 0.1875), Recall (@2: 0.1425, @5: 0.2311, @10: 0.3012)

Valid epoch:68, time: 282.640889(s), NDCG (@2: 0.1179, @5: 0.1552, @10: 0.1789), Recall (@2: 0.1365, @5: 0.2197, @10: 0.2932)
Test epoch:68, time: 282.640889(s), NDCG (@2: 0.1250, @5: 0.1607, @10: 0.1847), Recall (@2: 0.1423, @5: 0.2214, @10: 0.2958)

Valid epoch:70, time: 290.934653(s), NDCG (@2: 0.1162, @5: 0.1502, @10: 0.1754), Recall (@2: 0.1345, @5: 0.2098, @10: 0.2872)
Test epoch:70, time: 290.934653(s), NDCG (@2: 0.1265, @5: 0.1606, @10: 0.1842), Recall (@2: 0.1421, @5: 0.2184, @10: 0.2911)

Valid epoch:72, time: 299.054362(s), NDCG (@2: 0.1173, @5: 0.1547, @10: 0.1782), Recall (@2: 0.1341, @5: 0.2169, @10: 0.2893)
Test epoch:72, time: 299.054362(s), NDCG (@2: 0.1273, @5: 0.1639, @10: 0.1874), Recall (@2: 0.1434, @5: 0.2249, @10: 0.2978)

Valid epoch:74, time: 306.980004(s), NDCG (@2: 0.1199, @5: 0.1566, @10: 0.1800), Recall (@2: 0.1393, @5: 0.2216, @10: 0.2943)
Test epoch:74, time: 306.980004(s), NDCG (@2: 0.1311, @5: 0.1648, @10: 0.1881), Recall (@2: 0.1501, @5: 0.2255, @10: 0.2975)

Valid epoch:76, time: 315.641577(s), NDCG (@2: 0.1177, @5: 0.1544, @10: 0.1783), Recall (@2: 0.1356, @5: 0.2171, @10: 0.2915)
Test epoch:76, time: 315.641577(s), NDCG (@2: 0.1264, @5: 0.1592, @10: 0.1823), Recall (@2: 0.1442, @5: 0.2173, @10: 0.2885)

Valid epoch:78, time: 323.690466(s), NDCG (@2: 0.1169, @5: 0.1525, @10: 0.1775), Recall (@2: 0.1354, @5: 0.2147, @10: 0.2928)
Test epoch:78, time: 323.690466(s), NDCG (@2: 0.1241, @5: 0.1620, @10: 0.1844), Recall (@2: 0.1414, @5: 0.2260, @10: 0.2952)

Valid epoch:80, time: 331.780499(s), NDCG (@2: 0.1199, @5: 0.1556, @10: 0.1805), Recall (@2: 0.1384, @5: 0.2178, @10: 0.2947)
Test epoch:80, time: 331.780499(s), NDCG (@2: 0.1268, @5: 0.1634, @10: 0.1857), Recall (@2: 0.1445, @5: 0.2268, @10: 0.2960)

Valid epoch:82, time: 340.060042(s), NDCG (@2: 0.1171, @5: 0.1543, @10: 0.1777), Recall (@2: 0.1352, @5: 0.2191, @10: 0.2913)
Test epoch:82, time: 340.060042(s), NDCG (@2: 0.1261, @5: 0.1615, @10: 0.1843), Recall (@2: 0.1434, @5: 0.2219, @10: 0.2924)

Valid epoch:84, time: 348.079648(s), NDCG (@2: 0.1206, @5: 0.1565, @10: 0.1793), Recall (@2: 0.1386, @5: 0.2188, @10: 0.2904)
Test epoch:84, time: 348.079648(s), NDCG (@2: 0.1222, @5: 0.1574, @10: 0.1789), Recall (@2: 0.1393, @5: 0.2182, @10: 0.2848)

Valid epoch:86, time: 356.202804(s), NDCG (@2: 0.1187, @5: 0.1568, @10: 0.1818), Recall (@2: 0.1380, @5: 0.2229, @10: 0.3003)
Test epoch:86, time: 356.202804(s), NDCG (@2: 0.1296, @5: 0.1666, @10: 0.1897), Recall (@2: 0.1468, @5: 0.2292, @10: 0.3008)

Valid epoch:88, time: 364.690206(s), NDCG (@2: 0.1175, @5: 0.1551, @10: 0.1790), Recall (@2: 0.1354, @5: 0.2186, @10: 0.2930)
Test epoch:88, time: 364.690206(s), NDCG (@2: 0.1315, @5: 0.1669, @10: 0.1889), Recall (@2: 0.1488, @5: 0.2279, @10: 0.2960)

Valid epoch:90, time: 373.260798(s), NDCG (@2: 0.1191, @5: 0.1565, @10: 0.1798), Recall (@2: 0.1376, @5: 0.2206, @10: 0.2928)
Test epoch:90, time: 373.260798(s), NDCG (@2: 0.1323, @5: 0.1681, @10: 0.1914), Recall (@2: 0.1503, @5: 0.2301, @10: 0.3021)

Valid epoch:92, time: 381.532325(s), NDCG (@2: 0.1175, @5: 0.1539, @10: 0.1764), Recall (@2: 0.1350, @5: 0.2160, @10: 0.2855)
Test epoch:92, time: 381.532325(s), NDCG (@2: 0.1282, @5: 0.1629, @10: 0.1837), Recall (@2: 0.1468, @5: 0.2242, @10: 0.2883)

Valid epoch:94, time: 389.746545(s), NDCG (@2: 0.1152, @5: 0.1543, @10: 0.1758), Recall (@2: 0.1330, @5: 0.2201, @10: 0.2868)
Test epoch:94, time: 389.746545(s), NDCG (@2: 0.1193, @5: 0.1549, @10: 0.1769), Recall (@2: 0.1343, @5: 0.2139, @10: 0.2814)

Valid epoch:96, time: 397.943034(s), NDCG (@2: 0.1183, @5: 0.1561, @10: 0.1800), Recall (@2: 0.1352, @5: 0.2193, @10: 0.2934)
Test epoch:96, time: 397.943034(s), NDCG (@2: 0.1319, @5: 0.1673, @10: 0.1896), Recall (@2: 0.1501, @5: 0.2292, @10: 0.2982)

Valid epoch:98, time: 406.086284(s), NDCG (@2: 0.1157, @5: 0.1528, @10: 0.1760), Recall (@2: 0.1332, @5: 0.2156, @10: 0.2876)
Test epoch:98, time: 406.086284(s), NDCG (@2: 0.1241, @5: 0.1577, @10: 0.1822), Recall (@2: 0.1419, @5: 0.2176, @10: 0.2937)

Valid epoch:100, time: 414.272524(s), NDCG (@2: 0.1174, @5: 0.1551, @10: 0.1792), Recall (@2: 0.1339, @5: 0.2176, @10: 0.2924)
Test epoch:100, time: 414.272524(s), NDCG (@2: 0.1246, @5: 0.1605, @10: 0.1823), Recall (@2: 0.1421, @5: 0.2216, @10: 0.2887)

Valid epoch:102, time: 422.567409(s), NDCG (@2: 0.1186, @5: 0.1529, @10: 0.1765), Recall (@2: 0.1358, @5: 0.2119, @10: 0.2850)
Test epoch:102, time: 422.567409(s), NDCG (@2: 0.1255, @5: 0.1590, @10: 0.1843), Recall (@2: 0.1434, @5: 0.2180, @10: 0.2967)

Valid epoch:104, time: 430.548341(s), NDCG (@2: 0.1139, @5: 0.1496, @10: 0.1733), Recall (@2: 0.1300, @5: 0.2098, @10: 0.2831)
Test epoch:104, time: 430.548341(s), NDCG (@2: 0.1262, @5: 0.1590, @10: 0.1814), Recall (@2: 0.1432, @5: 0.2171, @10: 0.2863)

Valid epoch:106, time: 439.261463(s), NDCG (@2: 0.1174, @5: 0.1506, @10: 0.1749), Recall (@2: 0.1369, @5: 0.2117, @10: 0.2870)
Test epoch:106, time: 439.261463(s), NDCG (@2: 0.1235, @5: 0.1589, @10: 0.1828), Recall (@2: 0.1401, @5: 0.2191, @10: 0.2930)

Valid epoch:108, time: 447.505011(s), NDCG (@2: 0.1143, @5: 0.1481, @10: 0.1713), Recall (@2: 0.1315, @5: 0.2070, @10: 0.2786)
Test epoch:108, time: 447.505011(s), NDCG (@2: 0.1192, @5: 0.1553, @10: 0.1765), Recall (@2: 0.1365, @5: 0.2165, @10: 0.2822)

Valid epoch:110, time: 455.700064(s), NDCG (@2: 0.1124, @5: 0.1484, @10: 0.1730), Recall (@2: 0.1300, @5: 0.2100, @10: 0.2857)
Test epoch:110, time: 455.700064(s), NDCG (@2: 0.1245, @5: 0.1595, @10: 0.1828), Recall (@2: 0.1432, @5: 0.2214, @10: 0.2937)

Valid epoch:112, time: 463.990115(s), NDCG (@2: 0.1143, @5: 0.1522, @10: 0.1760), Recall (@2: 0.1324, @5: 0.2171, @10: 0.2904)
Test epoch:112, time: 463.990115(s), NDCG (@2: 0.1302, @5: 0.1649, @10: 0.1879), Recall (@2: 0.1475, @5: 0.2249, @10: 0.2962)

Valid epoch:114, time: 472.276060(s), NDCG (@2: 0.1161, @5: 0.1538, @10: 0.1768), Recall (@2: 0.1345, @5: 0.2182, @10: 0.2893)
Test epoch:114, time: 472.276060(s), NDCG (@2: 0.1246, @5: 0.1594, @10: 0.1837), Recall (@2: 0.1423, @5: 0.2195, @10: 0.2943)

Valid epoch:116, time: 480.350996(s), NDCG (@2: 0.1216, @5: 0.1569, @10: 0.1795), Recall (@2: 0.1380, @5: 0.2160, @10: 0.2859)
Test epoch:116, time: 480.350996(s), NDCG (@2: 0.1238, @5: 0.1598, @10: 0.1841), Recall (@2: 0.1410, @5: 0.2212, @10: 0.2965)

Valid epoch:118, time: 488.765627(s), NDCG (@2: 0.1165, @5: 0.1524, @10: 0.1754), Recall (@2: 0.1343, @5: 0.2143, @10: 0.2861)
Test epoch:118, time: 488.765627(s), NDCG (@2: 0.1221, @5: 0.1565, @10: 0.1800), Recall (@2: 0.1395, @5: 0.2169, @10: 0.2898)

Valid epoch:120, time: 497.218309(s), NDCG (@2: 0.1176, @5: 0.1498, @10: 0.1746), Recall (@2: 0.1343, @5: 0.2059, @10: 0.2827)
Test epoch:120, time: 497.218309(s), NDCG (@2: 0.1190, @5: 0.1538, @10: 0.1772), Recall (@2: 0.1361, @5: 0.2137, @10: 0.2865)

Valid epoch:122, time: 505.901837(s), NDCG (@2: 0.1150, @5: 0.1517, @10: 0.1728), Recall (@2: 0.1322, @5: 0.2135, @10: 0.2794)
Test epoch:122, time: 505.901837(s), NDCG (@2: 0.1212, @5: 0.1561, @10: 0.1791), Recall (@2: 0.1391, @5: 0.2169, @10: 0.2878)

Valid epoch:124, time: 513.896265(s), NDCG (@2: 0.1145, @5: 0.1516, @10: 0.1729), Recall (@2: 0.1313, @5: 0.2130, @10: 0.2786)
Test epoch:124, time: 513.896265(s), NDCG (@2: 0.1210, @5: 0.1550, @10: 0.1770), Recall (@2: 0.1401, @5: 0.2156, @10: 0.2840)

Valid epoch:126, time: 521.962912(s), NDCG (@2: 0.1191, @5: 0.1541, @10: 0.1756), Recall (@2: 0.1371, @5: 0.2150, @10: 0.2818)
Test epoch:126, time: 521.962912(s), NDCG (@2: 0.1229, @5: 0.1586, @10: 0.1792), Recall (@2: 0.1401, @5: 0.2201, @10: 0.2837)

Valid epoch:128, time: 530.129706(s), NDCG (@2: 0.1194, @5: 0.1531, @10: 0.1749), Recall (@2: 0.1378, @5: 0.2130, @10: 0.2805)
Test epoch:128, time: 530.129706(s), NDCG (@2: 0.1240, @5: 0.1569, @10: 0.1794), Recall (@2: 0.1414, @5: 0.2147, @10: 0.2844)

Valid epoch:130, time: 538.202512(s), NDCG (@2: 0.1170, @5: 0.1537, @10: 0.1748), Recall (@2: 0.1367, @5: 0.2188, @10: 0.2844)
Test epoch:130, time: 538.202512(s), NDCG (@2: 0.1279, @5: 0.1621, @10: 0.1844), Recall (@2: 0.1464, @5: 0.2225, @10: 0.2917)

Valid epoch:132, time: 546.378711(s), NDCG (@2: 0.1169, @5: 0.1528, @10: 0.1745), Recall (@2: 0.1345, @5: 0.2147, @10: 0.2816)
Test epoch:132, time: 546.378711(s), NDCG (@2: 0.1205, @5: 0.1564, @10: 0.1769), Recall (@2: 0.1376, @5: 0.2176, @10: 0.2814)

Valid epoch:134, time: 554.693182(s), NDCG (@2: 0.1194, @5: 0.1537, @10: 0.1771), Recall (@2: 0.1352, @5: 0.2122, @10: 0.2844)
Test epoch:134, time: 554.693182(s), NDCG (@2: 0.1275, @5: 0.1602, @10: 0.1823), Recall (@2: 0.1458, @5: 0.2188, @10: 0.2870)

Valid epoch:136, time: 562.826585(s), NDCG (@2: 0.1174, @5: 0.1520, @10: 0.1761), Recall (@2: 0.1341, @5: 0.2119, @10: 0.2874)
Test epoch:136, time: 562.826585(s), NDCG (@2: 0.1226, @5: 0.1569, @10: 0.1800), Recall (@2: 0.1384, @5: 0.2145, @10: 0.2863)

Valid epoch:138, time: 570.734762(s), NDCG (@2: 0.1144, @5: 0.1498, @10: 0.1721), Recall (@2: 0.1320, @5: 0.2107, @10: 0.2794)
Test epoch:138, time: 570.734762(s), NDCG (@2: 0.1252, @5: 0.1601, @10: 0.1824), Recall (@2: 0.1429, @5: 0.2210, @10: 0.2902)

Valid epoch:140, time: 578.963374(s), NDCG (@2: 0.1159, @5: 0.1520, @10: 0.1763), Recall (@2: 0.1324, @5: 0.2126, @10: 0.2876)
Test epoch:140, time: 578.963374(s), NDCG (@2: 0.1269, @5: 0.1632, @10: 0.1840), Recall (@2: 0.1447, @5: 0.2257, @10: 0.2896)

Valid epoch:142, time: 586.950802(s), NDCG (@2: 0.1179, @5: 0.1509, @10: 0.1724), Recall (@2: 0.1352, @5: 0.2096, @10: 0.2764)
Test epoch:142, time: 586.950802(s), NDCG (@2: 0.1224, @5: 0.1563, @10: 0.1765), Recall (@2: 0.1408, @5: 0.2160, @10: 0.2790)

Valid epoch:144, time: 595.306923(s), NDCG (@2: 0.1176, @5: 0.1537, @10: 0.1750), Recall (@2: 0.1352, @5: 0.2152, @10: 0.2818)
Test epoch:144, time: 595.306923(s), NDCG (@2: 0.1278, @5: 0.1628, @10: 0.1836), Recall (@2: 0.1466, @5: 0.2253, @10: 0.2898)

Valid epoch:146, time: 603.987199(s), NDCG (@2: 0.1180, @5: 0.1536, @10: 0.1750), Recall (@2: 0.1356, @5: 0.2147, @10: 0.2812)
Test epoch:146, time: 603.987199(s), NDCG (@2: 0.1282, @5: 0.1649, @10: 0.1858), Recall (@2: 0.1462, @5: 0.2273, @10: 0.2924)

Valid epoch:148, time: 612.579166(s), NDCG (@2: 0.1164, @5: 0.1511, @10: 0.1739), Recall (@2: 0.1341, @5: 0.2107, @10: 0.2814)
Test epoch:148, time: 612.579166(s), NDCG (@2: 0.1264, @5: 0.1606, @10: 0.1831), Recall (@2: 0.1438, @5: 0.2201, @10: 0.2900)

Valid epoch:150, time: 620.910175(s), NDCG (@2: 0.1127, @5: 0.1466, @10: 0.1687), Recall (@2: 0.1313, @5: 0.2070, @10: 0.2755)
Test epoch:150, time: 620.910175(s), NDCG (@2: 0.1203, @5: 0.1552, @10: 0.1765), Recall (@2: 0.1382, @5: 0.2167, @10: 0.2829)

Valid epoch:152, time: 629.187755(s), NDCG (@2: 0.1181, @5: 0.1529, @10: 0.1748), Recall (@2: 0.1354, @5: 0.2139, @10: 0.2812)
