anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:1
dis_span:256
dropout_rate:0.2
gpu:1
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:38, time: 275.740292(s), Recall (@2: 0.1382, @5: 0.2221, @10: 0.2980), NDCG (@2: 0.1197, @5: 0.1569, @10: 0.1812)
Test epoch:38, time: 275.740292(s), Recall (@2: 0.1473, @5: 0.2322, @10: 0.3081), NDCG (@2: 0.1295, @5: 0.1675, @10: 0.1920)

Valid epoch:40, time: 289.820014(s), Recall (@2: 0.1371, @5: 0.2225, @10: 0.2952), NDCG (@2: 0.1180, @5: 0.1566, @10: 0.1802)
Test epoch:40, time: 289.820014(s), Recall (@2: 0.1496, @5: 0.2322, @10: 0.3042), NDCG (@2: 0.1297, @5: 0.1664, @10: 0.1898)

Valid epoch:42, time: 305.095293(s), Recall (@2: 0.1356, @5: 0.2173, @10: 0.2943), NDCG (@2: 0.1169, @5: 0.1541, @10: 0.1791)
Test epoch:42, time: 305.095293(s), Recall (@2: 0.1373, @5: 0.2184, @10: 0.2902), NDCG (@2: 0.1212, @5: 0.1575, @10: 0.1807)

Valid epoch:44, time: 319.330832(s), Recall (@2: 0.1365, @5: 0.2195, @10: 0.2945), NDCG (@2: 0.1178, @5: 0.1547, @10: 0.1789)
Test epoch:44, time: 319.330832(s), Recall (@2: 0.1432, @5: 0.2273, @10: 0.2978), NDCG (@2: 0.1266, @5: 0.1640, @10: 0.1867)

Valid epoch:46, time: 333.618937(s), Recall (@2: 0.1406, @5: 0.2251, @10: 0.2941), NDCG (@2: 0.1219, @5: 0.1596, @10: 0.1818)
Test epoch:46, time: 333.618937(s), Recall (@2: 0.1380, @5: 0.2216, @10: 0.2934), NDCG (@2: 0.1210, @5: 0.1587, @10: 0.1819)

