anchor_num:100
batch_size:64
dataset:four-sin
device:cuda:1
dis_span:256
dropout_rate:0.2
gpu:1
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:38, time: 126.628929(s), Recall (@2: 0.1386, @5: 0.2236, @10: 0.2943), NDCG (@2: 0.1202, @5: 0.1581, @10: 0.1810)
Test epoch:38, time: 126.628929(s), Recall (@2: 0.1544, @5: 0.2352, @10: 0.3088), NDCG (@2: 0.1345, @5: 0.1709, @10: 0.1947)

Valid epoch:40, time: 133.203687(s), Recall (@2: 0.1384, @5: 0.2180, @10: 0.2922), NDCG (@2: 0.1195, @5: 0.1554, @10: 0.1795)
Test epoch:40, time: 133.203687(s), Recall (@2: 0.1535, @5: 0.2339, @10: 0.3116), NDCG (@2: 0.1342, @5: 0.1705, @10: 0.1956)

Valid epoch:42, time: 139.978889(s), Recall (@2: 0.1386, @5: 0.2204, @10: 0.2889), NDCG (@2: 0.1206, @5: 0.1572, @10: 0.1793)
Test epoch:42, time: 139.978889(s), Recall (@2: 0.1557, @5: 0.2337, @10: 0.3040), NDCG (@2: 0.1339, @5: 0.1693, @10: 0.1919)

Valid epoch:44, time: 146.661831(s), Recall (@2: 0.1371, @5: 0.2178, @10: 0.2896), NDCG (@2: 0.1192, @5: 0.1555, @10: 0.1789)
Test epoch:44, time: 146.661831(s), Recall (@2: 0.1458, @5: 0.2253, @10: 0.2952), NDCG (@2: 0.1275, @5: 0.1632, @10: 0.1858)

Valid epoch:46, time: 153.490341(s), Recall (@2: 0.1363, @5: 0.2184, @10: 0.2876), NDCG (@2: 0.1196, @5: 0.1567, @10: 0.1791)
Test epoch:46, time: 153.490341(s), Recall (@2: 0.1518, @5: 0.2311, @10: 0.3092), NDCG (@2: 0.1317, @5: 0.1675, @10: 0.1928)

Valid epoch:48, time: 160.233354(s), Recall (@2: 0.1343, @5: 0.2160, @10: 0.2909), NDCG (@2: 0.1178, @5: 0.1542, @10: 0.1785)
Test epoch:48, time: 160.233354(s), Recall (@2: 0.1464, @5: 0.2210, @10: 0.2952), NDCG (@2: 0.1283, @5: 0.1617, @10: 0.1859)

Valid epoch:50, time: 167.124311(s), Recall (@2: 0.1326, @5: 0.2173, @10: 0.2868), NDCG (@2: 0.1164, @5: 0.1543, @10: 0.1766)
Test epoch:50, time: 167.124311(s), Recall (@2: 0.1483, @5: 0.2264, @10: 0.2984), NDCG (@2: 0.1280, @5: 0.1630, @10: 0.1865)

Valid epoch:52, time: 174.064430(s), Recall (@2: 0.1399, @5: 0.2169, @10: 0.2861), NDCG (@2: 0.1218, @5: 0.1561, @10: 0.1784)
Test epoch:52, time: 174.064430(s), Recall (@2: 0.1447, @5: 0.2206, @10: 0.2937), NDCG (@2: 0.1268, @5: 0.1608, @10: 0.1843)

Valid epoch:54, time: 180.466110(s), Recall (@2: 0.1328, @5: 0.2145, @10: 0.2850), NDCG (@2: 0.1151, @5: 0.1520, @10: 0.1749)
Test epoch:54, time: 180.466110(s), Recall (@2: 0.1464, @5: 0.2240, @10: 0.2906), NDCG (@2: 0.1286, @5: 0.1633, @10: 0.1848)

Valid epoch:56, time: 186.946253(s), Recall (@2: 0.1317, @5: 0.2193, @10: 0.2870), NDCG (@2: 0.1157, @5: 0.1549, @10: 0.1769)
Test epoch:56, time: 186.946253(s), Recall (@2: 0.1486, @5: 0.2260, @10: 0.3008), NDCG (@2: 0.1303, @5: 0.1647, @10: 0.1888)

Valid epoch:58, time: 193.474406(s), Recall (@2: 0.1365, @5: 0.2214, @10: 0.2844), NDCG (@2: 0.1179, @5: 0.1558, @10: 0.1760)
Test epoch:58, time: 193.474406(s), Recall (@2: 0.1468, @5: 0.2268, @10: 0.2984), NDCG (@2: 0.1293, @5: 0.1651, @10: 0.1880)

Valid epoch:60, time: 200.149237(s), Recall (@2: 0.1330, @5: 0.2188, @10: 0.2893), NDCG (@2: 0.1169, @5: 0.1554, @10: 0.1781)
Test epoch:60, time: 200.149237(s), Recall (@2: 0.1462, @5: 0.2204, @10: 0.2960), NDCG (@2: 0.1291, @5: 0.1624, @10: 0.1870)

Valid epoch:62, time: 207.191056(s), Recall (@2: 0.1332, @5: 0.2135, @10: 0.2874), NDCG (@2: 0.1174, @5: 0.1534, @10: 0.1771)
Test epoch:62, time: 207.191056(s), Recall (@2: 0.1449, @5: 0.2191, @10: 0.2818), NDCG (@2: 0.1252, @5: 0.1584, @10: 0.1788)

Valid epoch:64, time: 213.825146(s), Recall (@2: 0.1309, @5: 0.2154, @10: 0.2833), NDCG (@2: 0.1141, @5: 0.1519, @10: 0.1740)
Test epoch:64, time: 213.825146(s), Recall (@2: 0.1429, @5: 0.2262, @10: 0.2941), NDCG (@2: 0.1263, @5: 0.1636, @10: 0.1854)

Valid epoch:66, time: 220.524353(s), Recall (@2: 0.1341, @5: 0.2195, @10: 0.2842), NDCG (@2: 0.1157, @5: 0.1539, @10: 0.1749)
Test epoch:66, time: 220.524353(s), Recall (@2: 0.1494, @5: 0.2275, @10: 0.2945), NDCG (@2: 0.1322, @5: 0.1672, @10: 0.1888)

Valid epoch:68, time: 227.064139(s), Recall (@2: 0.1341, @5: 0.2152, @10: 0.2842), NDCG (@2: 0.1168, @5: 0.1532, @10: 0.1755)
Test epoch:68, time: 227.064139(s), Recall (@2: 0.1423, @5: 0.2229, @10: 0.2909), NDCG (@2: 0.1254, @5: 0.1617, @10: 0.1836)

Valid epoch:70, time: 233.838415(s), Recall (@2: 0.1369, @5: 0.2193, @10: 0.2911), NDCG (@2: 0.1189, @5: 0.1560, @10: 0.1792)
Test epoch:70, time: 233.838415(s), Recall (@2: 0.1481, @5: 0.2270, @10: 0.3025), NDCG (@2: 0.1304, @5: 0.1657, @10: 0.1901)

Valid epoch:72, time: 240.818988(s), Recall (@2: 0.1348, @5: 0.2199, @10: 0.2822), NDCG (@2: 0.1179, @5: 0.1563, @10: 0.1763)
Test epoch:72, time: 240.818988(s), Recall (@2: 0.1496, @5: 0.2326, @10: 0.3010), NDCG (@2: 0.1302, @5: 0.1673, @10: 0.1896)

Valid epoch:74, time: 247.448030(s), Recall (@2: 0.1283, @5: 0.2216, @10: 0.2850), NDCG (@2: 0.1133, @5: 0.1553, @10: 0.1756)
Test epoch:74, time: 247.448030(s), Recall (@2: 0.1438, @5: 0.2186, @10: 0.2941), NDCG (@2: 0.1267, @5: 0.1599, @10: 0.1840)

Valid epoch:76, time: 254.014926(s), Recall (@2: 0.1315, @5: 0.2180, @10: 0.2870), NDCG (@2: 0.1160, @5: 0.1547, @10: 0.1771)
Test epoch:76, time: 254.014926(s), Recall (@2: 0.1436, @5: 0.2223, @10: 0.2967), NDCG (@2: 0.1267, @5: 0.1620, @10: 0.1859)

Valid epoch:78, time: 260.552673(s), Recall (@2: 0.1298, @5: 0.2145, @10: 0.2833), NDCG (@2: 0.1137, @5: 0.1515, @10: 0.1739)
Test epoch:78, time: 260.552673(s), Recall (@2: 0.1451, @5: 0.2201, @10: 0.2878), NDCG (@2: 0.1269, @5: 0.1605, @10: 0.1824)

