anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:1
dis_span:256
dropout_rate:0.2
gpu:1
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:4
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:38, time: 116.275056(s), Recall (@2: 0.1337, @5: 0.2208, @10: 0.2941), NDCG (@2: 0.1151, @5: 0.1542, @10: 0.1778)
Test epoch:38, time: 116.275056(s), Recall (@2: 0.1421, @5: 0.2283, @10: 0.3049), NDCG (@2: 0.1241, @5: 0.1626, @10: 0.1875)

Valid epoch:40, time: 122.291361(s), Recall (@2: 0.1348, @5: 0.2208, @10: 0.2926), NDCG (@2: 0.1169, @5: 0.1551, @10: 0.1783)
Test epoch:40, time: 122.291361(s), Recall (@2: 0.1458, @5: 0.2406, @10: 0.3133), NDCG (@2: 0.1271, @5: 0.1695, @10: 0.1931)

Valid epoch:42, time: 128.254101(s), Recall (@2: 0.1350, @5: 0.2180, @10: 0.2950), NDCG (@2: 0.1166, @5: 0.1540, @10: 0.1788)
Test epoch:42, time: 128.254101(s), Recall (@2: 0.1462, @5: 0.2370, @10: 0.3129), NDCG (@2: 0.1285, @5: 0.1695, @10: 0.1939)

Valid epoch:44, time: 134.286126(s), Recall (@2: 0.1332, @5: 0.2132, @10: 0.2913), NDCG (@2: 0.1145, @5: 0.1506, @10: 0.1758)
Test epoch:44, time: 134.286126(s), Recall (@2: 0.1417, @5: 0.2212, @10: 0.2939), NDCG (@2: 0.1235, @5: 0.1591, @10: 0.1824)

Valid epoch:46, time: 140.484536(s), Recall (@2: 0.1365, @5: 0.2188, @10: 0.2902), NDCG (@2: 0.1162, @5: 0.1530, @10: 0.1761)
Test epoch:46, time: 140.484536(s), Recall (@2: 0.1356, @5: 0.2260, @10: 0.3001), NDCG (@2: 0.1184, @5: 0.1588, @10: 0.1828)

Valid epoch:48, time: 148.737989(s), Recall (@2: 0.1339, @5: 0.2169, @10: 0.2919), NDCG (@2: 0.1154, @5: 0.1528, @10: 0.1769)
Test epoch:48, time: 148.737989(s), Recall (@2: 0.1408, @5: 0.2262, @10: 0.3066), NDCG (@2: 0.1236, @5: 0.1621, @10: 0.1880)

Valid epoch:50, time: 156.980729(s), Recall (@2: 0.1361, @5: 0.2216, @10: 0.2913), NDCG (@2: 0.1179, @5: 0.1563, @10: 0.1788)
Test epoch:50, time: 156.980729(s), Recall (@2: 0.1425, @5: 0.2251, @10: 0.3042), NDCG (@2: 0.1249, @5: 0.1621, @10: 0.1876)

Valid epoch:52, time: 164.951698(s), Recall (@2: 0.1339, @5: 0.2186, @10: 0.2932), NDCG (@2: 0.1152, @5: 0.1530, @10: 0.1771)
Test epoch:52, time: 164.951698(s), Recall (@2: 0.1406, @5: 0.2234, @10: 0.2960), NDCG (@2: 0.1229, @5: 0.1604, @10: 0.1838)

Valid epoch:54, time: 172.820944(s), Recall (@2: 0.1361, @5: 0.2178, @10: 0.2954), NDCG (@2: 0.1177, @5: 0.1545, @10: 0.1797)
Test epoch:54, time: 172.820944(s), Recall (@2: 0.1432, @5: 0.2301, @10: 0.2965), NDCG (@2: 0.1230, @5: 0.1620, @10: 0.1834)

Valid epoch:56, time: 180.626112(s), Recall (@2: 0.1384, @5: 0.2212, @10: 0.2930), NDCG (@2: 0.1186, @5: 0.1560, @10: 0.1791)
Test epoch:56, time: 180.626112(s), Recall (@2: 0.1445, @5: 0.2305, @10: 0.3081), NDCG (@2: 0.1250, @5: 0.1638, @10: 0.1886)

Valid epoch:58, time: 188.684997(s), Recall (@2: 0.1304, @5: 0.2188, @10: 0.2930), NDCG (@2: 0.1124, @5: 0.1518, @10: 0.1757)
Test epoch:58, time: 188.684997(s), Recall (@2: 0.1432, @5: 0.2204, @10: 0.2898), NDCG (@2: 0.1249, @5: 0.1593, @10: 0.1817)

Valid epoch:60, time: 196.770745(s), Recall (@2: 0.1307, @5: 0.2145, @10: 0.2893), NDCG (@2: 0.1125, @5: 0.1506, @10: 0.1747)
Test epoch:60, time: 196.770745(s), Recall (@2: 0.1386, @5: 0.2229, @10: 0.2997), NDCG (@2: 0.1223, @5: 0.1600, @10: 0.1846)

Valid epoch:62, time: 204.833404(s), Recall (@2: 0.1311, @5: 0.2139, @10: 0.2840), NDCG (@2: 0.1134, @5: 0.1505, @10: 0.1731)
Test epoch:62, time: 204.833404(s), Recall (@2: 0.1393, @5: 0.2137, @10: 0.2881), NDCG (@2: 0.1219, @5: 0.1552, @10: 0.1793)

Valid epoch:64, time: 212.856529(s), Recall (@2: 0.1307, @5: 0.2104, @10: 0.2865), NDCG (@2: 0.1125, @5: 0.1484, @10: 0.1730)
Test epoch:64, time: 212.856529(s), Recall (@2: 0.1423, @5: 0.2204, @10: 0.2930), NDCG (@2: 0.1251, @5: 0.1598, @10: 0.1833)

