dataset:four-sin
train_dir:default
batch_size:64
lr:0.001
maxlen:50
hidden_units:64
num_blocks:2
num_epochs:100
num_heads:1
dropout_rate:0.2
l2_emb:0.001
gpu:2
inference_only:False
state_dict_path:None
time_span:128
dis_span:256
kl_reg:1.0
anchor_num:500
layer_num:3
valid_epoch:1
device:cuda:2

Test epoch:37, time: 146.713532(s), Recall (@2: 0.1492, @5: 0.2318, @10: 0.3129), NDCG (@2: 0.1303, @5: 0.1676, @10: 0.1938)

Test epoch:38, time: 150.593588(s), Recall (@2: 0.1458, @5: 0.2322, @10: 0.3116), NDCG (@2: 0.1262, @5: 0.1651, @10: 0.1906)

Test epoch:39, time: 154.438459(s), Recall (@2: 0.1559, @5: 0.2432, @10: 0.3219), NDCG (@2: 0.1358, @5: 0.1747, @10: 0.2000)

Test epoch:40, time: 158.392101(s), Recall (@2: 0.1580, @5: 0.2374, @10: 0.3126), NDCG (@2: 0.1367, @5: 0.1722, @10: 0.1964)

Test epoch:41, time: 162.328543(s), Recall (@2: 0.1509, @5: 0.2367, @10: 0.3135), NDCG (@2: 0.1306, @5: 0.1691, @10: 0.1938)

Test epoch:42, time: 166.223038(s), Recall (@2: 0.1583, @5: 0.2413, @10: 0.3200), NDCG (@2: 0.1387, @5: 0.1760, @10: 0.2015)

Test epoch:43, time: 169.932545(s), Recall (@2: 0.1473, @5: 0.2352, @10: 0.3094), NDCG (@2: 0.1282, @5: 0.1677, @10: 0.1915)

Test epoch:44, time: 173.919002(s), Recall (@2: 0.1468, @5: 0.2266, @10: 0.2967), NDCG (@2: 0.1286, @5: 0.1647, @10: 0.1873)

Test epoch:45, time: 177.796625(s), Recall (@2: 0.1544, @5: 0.2462, @10: 0.3204), NDCG (@2: 0.1346, @5: 0.1752, @10: 0.1991)

Test epoch:46, time: 181.703836(s), Recall (@2: 0.1520, @5: 0.2318, @10: 0.3072), NDCG (@2: 0.1316, @5: 0.1673, @10: 0.1919)

Test epoch:47, time: 185.756273(s), Recall (@2: 0.1537, @5: 0.2370, @10: 0.3103), NDCG (@2: 0.1329, @5: 0.1702, @10: 0.1937)

Test epoch:48, time: 189.622754(s), Recall (@2: 0.1524, @5: 0.2417, @10: 0.3193), NDCG (@2: 0.1329, @5: 0.1730, @10: 0.1979)

Test epoch:49, time: 193.560176(s), Recall (@2: 0.1516, @5: 0.2333, @10: 0.3088), NDCG (@2: 0.1307, @5: 0.1675, @10: 0.1918)

Test epoch:50, time: 197.550282(s), Recall (@2: 0.1557, @5: 0.2387, @10: 0.3139), NDCG (@2: 0.1351, @5: 0.1723, @10: 0.1967)

Test epoch:51, time: 201.356195(s), Recall (@2: 0.1483, @5: 0.2395, @10: 0.3197), NDCG (@2: 0.1291, @5: 0.1701, @10: 0.1960)

Test epoch:52, time: 205.419760(s), Recall (@2: 0.1585, @5: 0.2393, @10: 0.3191), NDCG (@2: 0.1368, @5: 0.1730, @10: 0.1987)

Test epoch:53, time: 209.337128(s), Recall (@2: 0.1494, @5: 0.2281, @10: 0.3066), NDCG (@2: 0.1288, @5: 0.1640, @10: 0.1892)

Test epoch:54, time: 213.313808(s), Recall (@2: 0.1511, @5: 0.2342, @10: 0.3109), NDCG (@2: 0.1312, @5: 0.1686, @10: 0.1933)

Test epoch:55, time: 217.301523(s), Recall (@2: 0.1567, @5: 0.2415, @10: 0.3182), NDCG (@2: 0.1370, @5: 0.1749, @10: 0.1994)

Test epoch:56, time: 221.301239(s), Recall (@2: 0.1550, @5: 0.2406, @10: 0.3167), NDCG (@2: 0.1347, @5: 0.1734, @10: 0.1980)

Test epoch:57, time: 225.542008(s), Recall (@2: 0.1509, @5: 0.2275, @10: 0.3038), NDCG (@2: 0.1306, @5: 0.1649, @10: 0.1895)

Test epoch:58, time: 229.653188(s), Recall (@2: 0.1529, @5: 0.2372, @10: 0.3100), NDCG (@2: 0.1335, @5: 0.1711, @10: 0.1947)

Test epoch:59, time: 233.737231(s), Recall (@2: 0.1524, @5: 0.2365, @10: 0.3109), NDCG (@2: 0.1335, @5: 0.1711, @10: 0.1951)

Test epoch:60, time: 237.662450(s), Recall (@2: 0.1494, @5: 0.2354, @10: 0.3103), NDCG (@2: 0.1303, @5: 0.1686, @10: 0.1928)

Test epoch:61, time: 241.515646(s), Recall (@2: 0.1498, @5: 0.2322, @10: 0.3092), NDCG (@2: 0.1311, @5: 0.1681, @10: 0.1931)

Test epoch:62, time: 245.496005(s), Recall (@2: 0.1486, @5: 0.2298, @10: 0.3096), NDCG (@2: 0.1298, @5: 0.1661, @10: 0.1919)

Test epoch:63, time: 249.561476(s), Recall (@2: 0.1593, @5: 0.2421, @10: 0.3182), NDCG (@2: 0.1394, @5: 0.1764, @10: 0.2010)

Test epoch:64, time: 253.494873(s), Recall (@2: 0.1481, @5: 0.2391, @10: 0.3111), NDCG (@2: 0.1301, @5: 0.1707, @10: 0.1939)

Test epoch:65, time: 257.559073(s), Recall (@2: 0.1542, @5: 0.2333, @10: 0.3126), NDCG (@2: 0.1339, @5: 0.1698, @10: 0.1954)

Test epoch:66, time: 261.375684(s), Recall (@2: 0.1559, @5: 0.2464, @10: 0.3157), NDCG (@2: 0.1359, @5: 0.1763, @10: 0.1987)

Test epoch:67, time: 265.344819(s), Recall (@2: 0.1565, @5: 0.2451, @10: 0.3210), NDCG (@2: 0.1375, @5: 0.1772, @10: 0.2016)

Test epoch:68, time: 269.472787(s), Recall (@2: 0.1527, @5: 0.2275, @10: 0.3025), NDCG (@2: 0.1332, @5: 0.1668, @10: 0.1910)

Test epoch:69, time: 273.382448(s), Recall (@2: 0.1507, @5: 0.2322, @10: 0.3031), NDCG (@2: 0.1314, @5: 0.1676, @10: 0.1904)

Test epoch:70, time: 277.420693(s), Recall (@2: 0.1533, @5: 0.2290, @10: 0.3038), NDCG (@2: 0.1341, @5: 0.1681, @10: 0.1922)

Test epoch:71, time: 281.288202(s), Recall (@2: 0.1524, @5: 0.2344, @10: 0.3081), NDCG (@2: 0.1326, @5: 0.1694, @10: 0.1931)

Test epoch:72, time: 285.194388(s), Recall (@2: 0.1529, @5: 0.2335, @10: 0.3072), NDCG (@2: 0.1349, @5: 0.1712, @10: 0.1951)

Test epoch:73, time: 289.111464(s), Recall (@2: 0.1527, @5: 0.2262, @10: 0.3031), NDCG (@2: 0.1327, @5: 0.1656, @10: 0.1903)

Test epoch:74, time: 293.055700(s), Recall (@2: 0.1580, @5: 0.2376, @10: 0.3124), NDCG (@2: 0.1362, @5: 0.1721, @10: 0.1962)

Test epoch:75, time: 297.198090(s), Recall (@2: 0.1470, @5: 0.2255, @10: 0.2956), NDCG (@2: 0.1294, @5: 0.1644, @10: 0.1872)

Test epoch:76, time: 301.317131(s), Recall (@2: 0.1492, @5: 0.2279, @10: 0.3021), NDCG (@2: 0.1304, @5: 0.1659, @10: 0.1897)

Test epoch:77, time: 305.219283(s), Recall (@2: 0.1481, @5: 0.2279, @10: 0.3060), NDCG (@2: 0.1298, @5: 0.1654, @10: 0.1907)

Test epoch:78, time: 309.167633(s), Recall (@2: 0.1440, @5: 0.2266, @10: 0.3034), NDCG (@2: 0.1267, @5: 0.1637, @10: 0.1885)

Test epoch:79, time: 313.312234(s), Recall (@2: 0.1542, @5: 0.2387, @10: 0.3113), NDCG (@2: 0.1346, @5: 0.1726, @10: 0.1958)

Test epoch:80, time: 317.374304(s), Recall (@2: 0.1503, @5: 0.2290, @10: 0.3021), NDCG (@2: 0.1309, @5: 0.1662, @10: 0.1898)

Test epoch:81, time: 321.553808(s), Recall (@2: 0.1542, @5: 0.2363, @10: 0.3038), NDCG (@2: 0.1358, @5: 0.1725, @10: 0.1943)

Test epoch:82, time: 325.153452(s), Recall (@2: 0.1486, @5: 0.2264, @10: 0.2999), NDCG (@2: 0.1303, @5: 0.1653, @10: 0.1890)

Test epoch:83, time: 329.218206(s), Recall (@2: 0.1492, @5: 0.2285, @10: 0.3021), NDCG (@2: 0.1300, @5: 0.1658, @10: 0.1895)

Test epoch:84, time: 333.164955(s), Recall (@2: 0.1496, @5: 0.2298, @10: 0.3044), NDCG (@2: 0.1311, @5: 0.1670, @10: 0.1910)

Test epoch:85, time: 337.154823(s), Recall (@2: 0.1498, @5: 0.2333, @10: 0.3014), NDCG (@2: 0.1311, @5: 0.1685, @10: 0.1904)

Test epoch:86, time: 341.060590(s), Recall (@2: 0.1511, @5: 0.2298, @10: 0.3064), NDCG (@2: 0.1323, @5: 0.1673, @10: 0.1921)

Test epoch:87, time: 344.973035(s), Recall (@2: 0.1509, @5: 0.2322, @10: 0.3081), NDCG (@2: 0.1317, @5: 0.1684, @10: 0.1930)

Test epoch:88, time: 349.026067(s), Recall (@2: 0.1462, @5: 0.2333, @10: 0.3060), NDCG (@2: 0.1282, @5: 0.1672, @10: 0.1906)

Test epoch:89, time: 352.868723(s), Recall (@2: 0.1397, @5: 0.2232, @10: 0.2913), NDCG (@2: 0.1223, @5: 0.1597, @10: 0.1818)

Test epoch:90, time: 356.888259(s), Recall (@2: 0.1477, @5: 0.2316, @10: 0.3008), NDCG (@2: 0.1292, @5: 0.1667, @10: 0.1890)

Test epoch:91, time: 360.907518(s), Recall (@2: 0.1511, @5: 0.2298, @10: 0.3036), NDCG (@2: 0.1325, @5: 0.1677, @10: 0.1913)

Test epoch:92, time: 364.932383(s), Recall (@2: 0.1503, @5: 0.2296, @10: 0.2991), NDCG (@2: 0.1319, @5: 0.1675, @10: 0.1898)

Test epoch:93, time: 369.011100(s), Recall (@2: 0.1507, @5: 0.2294, @10: 0.3031), NDCG (@2: 0.1311, @5: 0.1662, @10: 0.1900)

Test epoch:94, time: 373.004506(s), Recall (@2: 0.1460, @5: 0.2270, @10: 0.2978), NDCG (@2: 0.1290, @5: 0.1655, @10: 0.1882)

Test epoch:95, time: 377.230531(s), Recall (@2: 0.1576, @5: 0.2417, @10: 0.3161), NDCG (@2: 0.1367, @5: 0.1743, @10: 0.1983)

Test epoch:96, time: 381.360228(s), Recall (@2: 0.1488, @5: 0.2309, @10: 0.3060), NDCG (@2: 0.1310, @5: 0.1678, @10: 0.1919)

Test epoch:97, time: 385.624826(s), Recall (@2: 0.1458, @5: 0.2245, @10: 0.2999), NDCG (@2: 0.1275, @5: 0.1629, @10: 0.1872)

Test epoch:98, time: 389.605062(s), Recall (@2: 0.1518, @5: 0.2320, @10: 0.3044), NDCG (@2: 0.1327, @5: 0.1685, @10: 0.1918)

Test epoch:99, time: 394.046468(s), Recall (@2: 0.1483, @5: 0.2348, @10: 0.3060), NDCG (@2: 0.1282, @5: 0.1670, @10: 0.1899)

Test epoch:100, time: 398.117986(s), Recall (@2: 0.1477, @5: 0.2316, @10: 0.3008), NDCG (@2: 0.1295, @5: 0.1670, @10: 0.1893)
