anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:3
dis_span:128
dropout_rate:0.2
gpu:3
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:38, time: 122.573142(s), Recall (@2: 0.1399, @5: 0.2229, @10: 0.2930), NDCG (@2: 0.1213, @5: 0.1584, @10: 0.1810)
Test epoch:38, time: 122.573142(s), Recall (@2: 0.1436, @5: 0.2260, @10: 0.3034), NDCG (@2: 0.1253, @5: 0.1625, @10: 0.1874)

Valid epoch:40, time: 128.958360(s), Recall (@2: 0.1337, @5: 0.2191, @10: 0.2915), NDCG (@2: 0.1147, @5: 0.1533, @10: 0.1765)
Test epoch:40, time: 128.958360(s), Recall (@2: 0.1460, @5: 0.2240, @10: 0.2988), NDCG (@2: 0.1267, @5: 0.1615, @10: 0.1857)

Valid epoch:42, time: 135.769792(s), Recall (@2: 0.1354, @5: 0.2119, @10: 0.2898), NDCG (@2: 0.1175, @5: 0.1518, @10: 0.1769)
Test epoch:42, time: 135.769792(s), Recall (@2: 0.1468, @5: 0.2290, @10: 0.2975), NDCG (@2: 0.1285, @5: 0.1656, @10: 0.1878)

Valid epoch:44, time: 142.538313(s), Recall (@2: 0.1304, @5: 0.2132, @10: 0.2924), NDCG (@2: 0.1125, @5: 0.1498, @10: 0.1754)
Test epoch:44, time: 142.538313(s), Recall (@2: 0.1449, @5: 0.2247, @10: 0.2958), NDCG (@2: 0.1267, @5: 0.1624, @10: 0.1854)

Valid epoch:46, time: 149.519048(s), Recall (@2: 0.1350, @5: 0.2182, @10: 0.2865), NDCG (@2: 0.1159, @5: 0.1533, @10: 0.1753)
Test epoch:46, time: 149.519048(s), Recall (@2: 0.1509, @5: 0.2357, @10: 0.3042), NDCG (@2: 0.1324, @5: 0.1703, @10: 0.1924)

Valid epoch:48, time: 156.366492(s), Recall (@2: 0.1296, @5: 0.2195, @10: 0.2868), NDCG (@2: 0.1124, @5: 0.1523, @10: 0.1740)
Test epoch:48, time: 156.366492(s), Recall (@2: 0.1449, @5: 0.2240, @10: 0.2902), NDCG (@2: 0.1275, @5: 0.1632, @10: 0.1845)

Valid epoch:50, time: 163.336827(s), Recall (@2: 0.1348, @5: 0.2191, @10: 0.2926), NDCG (@2: 0.1164, @5: 0.1540, @10: 0.1777)
Test epoch:50, time: 163.336827(s), Recall (@2: 0.1464, @5: 0.2253, @10: 0.2962), NDCG (@2: 0.1275, @5: 0.1628, @10: 0.1857)

Valid epoch:52, time: 170.420085(s), Recall (@2: 0.1354, @5: 0.2219, @10: 0.2924), NDCG (@2: 0.1173, @5: 0.1561, @10: 0.1789)
Test epoch:52, time: 170.420085(s), Recall (@2: 0.1451, @5: 0.2262, @10: 0.2999), NDCG (@2: 0.1270, @5: 0.1632, @10: 0.1869)

Valid epoch:54, time: 177.432310(s), Recall (@2: 0.1332, @5: 0.2195, @10: 0.2919), NDCG (@2: 0.1152, @5: 0.1537, @10: 0.1770)
Test epoch:54, time: 177.432310(s), Recall (@2: 0.1436, @5: 0.2208, @10: 0.2881), NDCG (@2: 0.1257, @5: 0.1603, @10: 0.1820)

Valid epoch:56, time: 184.266973(s), Recall (@2: 0.1341, @5: 0.2188, @10: 0.2937), NDCG (@2: 0.1172, @5: 0.1553, @10: 0.1793)
Test epoch:56, time: 184.266973(s), Recall (@2: 0.1486, @5: 0.2273, @10: 0.2973), NDCG (@2: 0.1304, @5: 0.1658, @10: 0.1884)

Valid epoch:58, time: 191.263927(s), Recall (@2: 0.1369, @5: 0.2197, @10: 0.2975), NDCG (@2: 0.1183, @5: 0.1553, @10: 0.1804)
Test epoch:58, time: 191.263927(s), Recall (@2: 0.1410, @5: 0.2221, @10: 0.2945), NDCG (@2: 0.1255, @5: 0.1614, @10: 0.1847)

Valid epoch:60, time: 198.141294(s), Recall (@2: 0.1298, @5: 0.2191, @10: 0.2924), NDCG (@2: 0.1135, @5: 0.1537, @10: 0.1773)
Test epoch:60, time: 198.141294(s), Recall (@2: 0.1475, @5: 0.2333, @10: 0.3049), NDCG (@2: 0.1290, @5: 0.1678, @10: 0.1907)

Valid epoch:62, time: 205.391316(s), Recall (@2: 0.1348, @5: 0.2253, @10: 0.2924), NDCG (@2: 0.1164, @5: 0.1568, @10: 0.1784)
Test epoch:62, time: 205.391316(s), Recall (@2: 0.1544, @5: 0.2307, @10: 0.3021), NDCG (@2: 0.1351, @5: 0.1697, @10: 0.1928)

Valid epoch:64, time: 212.389669(s), Recall (@2: 0.1335, @5: 0.2122, @10: 0.2805), NDCG (@2: 0.1158, @5: 0.1515, @10: 0.1735)
Test epoch:64, time: 212.389669(s), Recall (@2: 0.1462, @5: 0.2238, @10: 0.2898), NDCG (@2: 0.1297, @5: 0.1645, @10: 0.1857)

Valid epoch:66, time: 219.231106(s), Recall (@2: 0.1335, @5: 0.2169, @10: 0.2906), NDCG (@2: 0.1155, @5: 0.1528, @10: 0.1766)
Test epoch:66, time: 219.231106(s), Recall (@2: 0.1440, @5: 0.2229, @10: 0.2900), NDCG (@2: 0.1268, @5: 0.1625, @10: 0.1840)

