anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:2
dis_span:256
dropout_rate:0.2
gpu:2
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:38, time: 155.521736(s), Recall (@2: 0.1382, @5: 0.2214, @10: 0.2934), NDCG (@2: 0.1189, @5: 0.1563, @10: 0.1794)
Test epoch:38, time: 155.521736(s), Recall (@2: 0.1503, @5: 0.2387, @10: 0.3096), NDCG (@2: 0.1311, @5: 0.1708, @10: 0.1937)

Valid epoch:40, time: 163.732879(s), Recall (@2: 0.1391, @5: 0.2163, @10: 0.2824), NDCG (@2: 0.1200, @5: 0.1545, @10: 0.1758)
Test epoch:40, time: 163.732879(s), Recall (@2: 0.1531, @5: 0.2411, @10: 0.3124), NDCG (@2: 0.1349, @5: 0.1741, @10: 0.1971)

Valid epoch:42, time: 171.922580(s), Recall (@2: 0.1348, @5: 0.2137, @10: 0.2846), NDCG (@2: 0.1173, @5: 0.1530, @10: 0.1760)
Test epoch:42, time: 171.922580(s), Recall (@2: 0.1451, @5: 0.2350, @10: 0.3025), NDCG (@2: 0.1282, @5: 0.1686, @10: 0.1903)

Valid epoch:44, time: 180.311272(s), Recall (@2: 0.1348, @5: 0.2165, @10: 0.2857), NDCG (@2: 0.1161, @5: 0.1529, @10: 0.1751)
Test epoch:44, time: 180.311272(s), Recall (@2: 0.1423, @5: 0.2232, @10: 0.2941), NDCG (@2: 0.1254, @5: 0.1613, @10: 0.1842)

Valid epoch:46, time: 188.791152(s), Recall (@2: 0.1317, @5: 0.2137, @10: 0.2853), NDCG (@2: 0.1145, @5: 0.1512, @10: 0.1743)
Test epoch:46, time: 188.791152(s), Recall (@2: 0.1447, @5: 0.2260, @10: 0.3006), NDCG (@2: 0.1267, @5: 0.1631, @10: 0.1873)

Valid epoch:48, time: 197.091062(s), Recall (@2: 0.1330, @5: 0.2152, @10: 0.2868), NDCG (@2: 0.1157, @5: 0.1526, @10: 0.1756)
Test epoch:48, time: 197.091062(s), Recall (@2: 0.1442, @5: 0.2262, @10: 0.2960), NDCG (@2: 0.1264, @5: 0.1631, @10: 0.1855)

Valid epoch:50, time: 205.285283(s), Recall (@2: 0.1341, @5: 0.2126, @10: 0.2840), NDCG (@2: 0.1164, @5: 0.1514, @10: 0.1744)
Test epoch:50, time: 205.285283(s), Recall (@2: 0.1440, @5: 0.2232, @10: 0.3001), NDCG (@2: 0.1255, @5: 0.1607, @10: 0.1856)

Valid epoch:52, time: 213.641315(s), Recall (@2: 0.1365, @5: 0.2122, @10: 0.2848), NDCG (@2: 0.1181, @5: 0.1517, @10: 0.1751)
Test epoch:52, time: 213.641315(s), Recall (@2: 0.1447, @5: 0.2201, @10: 0.2926), NDCG (@2: 0.1265, @5: 0.1599, @10: 0.1834)

Valid epoch:54, time: 221.372533(s), Recall (@2: 0.1380, @5: 0.2141, @10: 0.2853), NDCG (@2: 0.1190, @5: 0.1533, @10: 0.1761)
Test epoch:54, time: 221.372533(s), Recall (@2: 0.1436, @5: 0.2264, @10: 0.3042), NDCG (@2: 0.1242, @5: 0.1613, @10: 0.1864)

Valid epoch:56, time: 229.590189(s), Recall (@2: 0.1324, @5: 0.2137, @10: 0.2857), NDCG (@2: 0.1152, @5: 0.1516, @10: 0.1749)
Test epoch:56, time: 229.590189(s), Recall (@2: 0.1460, @5: 0.2264, @10: 0.3021), NDCG (@2: 0.1275, @5: 0.1634, @10: 0.1879)

Valid epoch:58, time: 237.531192(s), Recall (@2: 0.1339, @5: 0.2128, @10: 0.2855), NDCG (@2: 0.1154, @5: 0.1509, @10: 0.1742)
Test epoch:58, time: 237.531192(s), Recall (@2: 0.1421, @5: 0.2298, @10: 0.3008), NDCG (@2: 0.1239, @5: 0.1630, @10: 0.1857)

Valid epoch:60, time: 245.512088(s), Recall (@2: 0.1382, @5: 0.2132, @10: 0.2848), NDCG (@2: 0.1191, @5: 0.1528, @10: 0.1760)
Test epoch:60, time: 245.512088(s), Recall (@2: 0.1447, @5: 0.2206, @10: 0.2934), NDCG (@2: 0.1268, @5: 0.1606, @10: 0.1840)

Valid epoch:62, time: 253.510569(s), Recall (@2: 0.1367, @5: 0.2137, @10: 0.2859), NDCG (@2: 0.1197, @5: 0.1544, @10: 0.1778)
Test epoch:62, time: 253.510569(s), Recall (@2: 0.1401, @5: 0.2197, @10: 0.2898), NDCG (@2: 0.1226, @5: 0.1583, @10: 0.1811)

Valid epoch:64, time: 261.383278(s), Recall (@2: 0.1341, @5: 0.2145, @10: 0.2848), NDCG (@2: 0.1165, @5: 0.1527, @10: 0.1752)
Test epoch:64, time: 261.383278(s), Recall (@2: 0.1386, @5: 0.2145, @10: 0.2926), NDCG (@2: 0.1221, @5: 0.1561, @10: 0.1813)

Valid epoch:66, time: 269.420956(s), Recall (@2: 0.1315, @5: 0.2180, @10: 0.2896), NDCG (@2: 0.1139, @5: 0.1522, @10: 0.1753)
Test epoch:66, time: 269.420956(s), Recall (@2: 0.1466, @5: 0.2318, @10: 0.2999), NDCG (@2: 0.1281, @5: 0.1660, @10: 0.1879)

Valid epoch:68, time: 277.810530(s), Recall (@2: 0.1354, @5: 0.2150, @10: 0.2870), NDCG (@2: 0.1175, @5: 0.1531, @10: 0.1764)
Test epoch:68, time: 277.810530(s), Recall (@2: 0.1421, @5: 0.2204, @10: 0.2913), NDCG (@2: 0.1256, @5: 0.1603, @10: 0.1831)

Valid epoch:70, time: 285.552626(s), Recall (@2: 0.1317, @5: 0.2165, @10: 0.2928), NDCG (@2: 0.1159, @5: 0.1538, @10: 0.1785)
