anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:2
dis_span:256
dropout_rate:0.2
gpu:2
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:2, time: 8.467442(s), Recall (@2: 0.0854, @5: 0.1423, @10: 0.1956), NDCG (@2: 0.0745, @5: 0.0998, @10: 0.1170)
Test epoch:2, time: 8.467442(s), NDCG (@2: 0.1035, @5: 0.1710, @10: 0.2262), Recall (@2: 0.0881, @5: 0.1178, @10: 0.1356)

Valid epoch:4, time: 16.624642(s), Recall (@2: 0.1166, @5: 0.1798, @10: 0.2428), NDCG (@2: 0.1016, @5: 0.1299, @10: 0.1503)
Test epoch:4, time: 16.624642(s), NDCG (@2: 0.1151, @5: 0.1822, @10: 0.2484), Recall (@2: 0.1004, @5: 0.1305, @10: 0.1520)

Valid epoch:6, time: 24.919251(s), Recall (@2: 0.1285, @5: 0.2059, @10: 0.2682), NDCG (@2: 0.1120, @5: 0.1467, @10: 0.1668)
Test epoch:6, time: 24.919251(s), NDCG (@2: 0.1315, @5: 0.2072, @10: 0.2730), Recall (@2: 0.1132, @5: 0.1471, @10: 0.1685)

Valid epoch:8, time: 33.203460(s), Recall (@2: 0.1380, @5: 0.2178, @10: 0.2837), NDCG (@2: 0.1184, @5: 0.1544, @10: 0.1757)
Test epoch:8, time: 33.203460(s), NDCG (@2: 0.1419, @5: 0.2303, @10: 0.2986), Recall (@2: 0.1223, @5: 0.1621, @10: 0.1840)

Valid epoch:10, time: 41.525640(s), Recall (@2: 0.1451, @5: 0.2240, @10: 0.2911), NDCG (@2: 0.1231, @5: 0.1583, @10: 0.1799)
Test epoch:10, time: 41.525640(s), NDCG (@2: 0.1477, @5: 0.2318, @10: 0.3016), Recall (@2: 0.1268, @5: 0.1645, @10: 0.1870)

Valid epoch:12, time: 49.774019(s), Recall (@2: 0.1408, @5: 0.2240, @10: 0.2898), NDCG (@2: 0.1199, @5: 0.1572, @10: 0.1784)
Test epoch:12, time: 49.774019(s), NDCG (@2: 0.1449, @5: 0.2318, @10: 0.3068), Recall (@2: 0.1242, @5: 0.1634, @10: 0.1877)

Valid epoch:14, time: 58.003262(s), Recall (@2: 0.1401, @5: 0.2186, @10: 0.2915), NDCG (@2: 0.1212, @5: 0.1568, @10: 0.1804)
Test epoch:14, time: 58.003262(s), NDCG (@2: 0.1445, @5: 0.2298, @10: 0.3068), Recall (@2: 0.1246, @5: 0.1630, @10: 0.1878)

Valid epoch:16, time: 66.355094(s), Recall (@2: 0.1371, @5: 0.2221, @10: 0.2915), NDCG (@2: 0.1183, @5: 0.1566, @10: 0.1790)
Test epoch:16, time: 66.355094(s), NDCG (@2: 0.1494, @5: 0.2413, @10: 0.3144), Recall (@2: 0.1275, @5: 0.1686, @10: 0.1921)

Valid epoch:18, time: 74.683340(s), Recall (@2: 0.1378, @5: 0.2234, @10: 0.2928), NDCG (@2: 0.1195, @5: 0.1577, @10: 0.1801)
Test epoch:18, time: 74.683340(s), NDCG (@2: 0.1488, @5: 0.2339, @10: 0.3083), Recall (@2: 0.1278, @5: 0.1659, @10: 0.1899)

Valid epoch:20, time: 83.072081(s), Recall (@2: 0.1423, @5: 0.2227, @10: 0.2896), NDCG (@2: 0.1225, @5: 0.1587, @10: 0.1802)
Test epoch:20, time: 83.072081(s), NDCG (@2: 0.1486, @5: 0.2374, @10: 0.3103), Recall (@2: 0.1283, @5: 0.1681, @10: 0.1916)

Valid epoch:22, time: 91.352000(s), Recall (@2: 0.1401, @5: 0.2251, @10: 0.2971), NDCG (@2: 0.1214, @5: 0.1592, @10: 0.1825)
Test epoch:22, time: 91.352000(s), NDCG (@2: 0.1548, @5: 0.2490, @10: 0.3182), Recall (@2: 0.1357, @5: 0.1783, @10: 0.2006)

Valid epoch:24, time: 99.675442(s), Recall (@2: 0.1410, @5: 0.2264, @10: 0.2980), NDCG (@2: 0.1202, @5: 0.1584, @10: 0.1815)
Test epoch:24, time: 99.675442(s), NDCG (@2: 0.1507, @5: 0.2458, @10: 0.3182), Recall (@2: 0.1305, @5: 0.1729, @10: 0.1964)

Valid epoch:26, time: 108.055967(s), Recall (@2: 0.1371, @5: 0.2240, @10: 0.2950), NDCG (@2: 0.1193, @5: 0.1582, @10: 0.1811)
Test epoch:26, time: 108.055967(s), NDCG (@2: 0.1449, @5: 0.2357, @10: 0.3092), Recall (@2: 0.1264, @5: 0.1673, @10: 0.1912)

Valid epoch:28, time: 116.237445(s), Recall (@2: 0.1365, @5: 0.2225, @10: 0.2943), NDCG (@2: 0.1176, @5: 0.1564, @10: 0.1797)
Test epoch:28, time: 116.237445(s), NDCG (@2: 0.1488, @5: 0.2359, @10: 0.3118), Recall (@2: 0.1293, @5: 0.1682, @10: 0.1927)

Valid epoch:30, time: 124.522829(s), Recall (@2: 0.1395, @5: 0.2199, @10: 0.2898), NDCG (@2: 0.1206, @5: 0.1566, @10: 0.1792)
Test epoch:30, time: 124.522829(s), NDCG (@2: 0.1451, @5: 0.2298, @10: 0.3047), Recall (@2: 0.1264, @5: 0.1643, @10: 0.1883)

Valid epoch:32, time: 132.879828(s), Recall (@2: 0.1384, @5: 0.2201, @10: 0.2889), NDCG (@2: 0.1189, @5: 0.1555, @10: 0.1776)
