anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:1
dis_span:256
dropout_rate:0.2
gpu:1
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:38, time: 274.163922(s), Recall (@2: 0.1352, @5: 0.2212, @10: 0.2952), NDCG (@2: 0.1170, @5: 0.1557, @10: 0.1796)
Test epoch:38, time: 274.163922(s), Recall (@2: 0.1522, @5: 0.2337, @10: 0.3060), NDCG (@2: 0.1325, @5: 0.1691, @10: 0.1924)

Valid epoch:40, time: 288.345562(s), Recall (@2: 0.1376, @5: 0.2212, @10: 0.2984), NDCG (@2: 0.1185, @5: 0.1562, @10: 0.1810)
Test epoch:40, time: 288.345562(s), Recall (@2: 0.1539, @5: 0.2423, @10: 0.3105), NDCG (@2: 0.1333, @5: 0.1727, @10: 0.1945)

Valid epoch:42, time: 303.543818(s), Recall (@2: 0.1395, @5: 0.2186, @10: 0.2915), NDCG (@2: 0.1198, @5: 0.1557, @10: 0.1792)
Test epoch:42, time: 303.543818(s), Recall (@2: 0.1522, @5: 0.2352, @10: 0.3148), NDCG (@2: 0.1330, @5: 0.1702, @10: 0.1959)

Valid epoch:44, time: 317.983640(s), Recall (@2: 0.1425, @5: 0.2212, @10: 0.2958), NDCG (@2: 0.1229, @5: 0.1582, @10: 0.1823)
Test epoch:44, time: 317.983640(s), Recall (@2: 0.1440, @5: 0.2255, @10: 0.2991), NDCG (@2: 0.1266, @5: 0.1631, @10: 0.1869)

Valid epoch:46, time: 332.082958(s), Recall (@2: 0.1384, @5: 0.2232, @10: 0.2988), NDCG (@2: 0.1200, @5: 0.1582, @10: 0.1826)
Test epoch:46, time: 332.082958(s), Recall (@2: 0.1520, @5: 0.2316, @10: 0.3131), NDCG (@2: 0.1332, @5: 0.1692, @10: 0.1954)

Valid epoch:48, time: 347.550700(s), Recall (@2: 0.1384, @5: 0.2208, @10: 0.2922), NDCG (@2: 0.1196, @5: 0.1567, @10: 0.1797)
Test epoch:48, time: 347.550700(s), Recall (@2: 0.1550, @5: 0.2370, @10: 0.3100), NDCG (@2: 0.1353, @5: 0.1721, @10: 0.1959)

Valid epoch:50, time: 362.251947(s), Recall (@2: 0.1399, @5: 0.2208, @10: 0.2939), NDCG (@2: 0.1213, @5: 0.1577, @10: 0.1813)
Test epoch:50, time: 362.251947(s), Recall (@2: 0.1466, @5: 0.2337, @10: 0.3064), NDCG (@2: 0.1274, @5: 0.1666, @10: 0.1900)

Valid epoch:52, time: 376.278696(s), Recall (@2: 0.1382, @5: 0.2199, @10: 0.2939), NDCG (@2: 0.1201, @5: 0.1569, @10: 0.1808)
Test epoch:52, time: 376.278696(s), Recall (@2: 0.1511, @5: 0.2339, @10: 0.3064), NDCG (@2: 0.1332, @5: 0.1704, @10: 0.1936)

Valid epoch:54, time: 391.037618(s), Recall (@2: 0.1401, @5: 0.2223, @10: 0.2960), NDCG (@2: 0.1207, @5: 0.1576, @10: 0.1816)
Test epoch:54, time: 391.037618(s), Recall (@2: 0.1462, @5: 0.2292, @10: 0.3031), NDCG (@2: 0.1288, @5: 0.1660, @10: 0.1899)

Valid epoch:56, time: 405.090878(s), Recall (@2: 0.1371, @5: 0.2201, @10: 0.2913), NDCG (@2: 0.1200, @5: 0.1572, @10: 0.1803)
Test epoch:56, time: 405.090878(s), Recall (@2: 0.1533, @5: 0.2326, @10: 0.3025), NDCG (@2: 0.1334, @5: 0.1691, @10: 0.1917)

Valid epoch:58, time: 419.712283(s), Recall (@2: 0.1358, @5: 0.2204, @10: 0.2952), NDCG (@2: 0.1176, @5: 0.1558, @10: 0.1799)
