anchor_num:300
batch_size:64
dataset:four-sin
device:cuda:2
dis_span:256
dropout_rate:0.2
gpu:2
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:38, time: 143.590234(s), Recall (@2: 0.1380, @5: 0.2197, @10: 0.2915), NDCG (@2: 0.1192, @5: 0.1563, @10: 0.1797)
Test epoch:38, time: 143.590234(s), Recall (@2: 0.1520, @5: 0.2372, @10: 0.3066), NDCG (@2: 0.1336, @5: 0.1716, @10: 0.1941)

Valid epoch:40, time: 151.273841(s), Recall (@2: 0.1404, @5: 0.2176, @10: 0.2896), NDCG (@2: 0.1211, @5: 0.1558, @10: 0.1790)
Test epoch:40, time: 151.273841(s), Recall (@2: 0.1527, @5: 0.2318, @10: 0.3038), NDCG (@2: 0.1338, @5: 0.1694, @10: 0.1929)

Valid epoch:42, time: 159.218550(s), Recall (@2: 0.1371, @5: 0.2201, @10: 0.2900), NDCG (@2: 0.1191, @5: 0.1565, @10: 0.1790)
Test epoch:42, time: 159.218550(s), Recall (@2: 0.1490, @5: 0.2311, @10: 0.2999), NDCG (@2: 0.1308, @5: 0.1676, @10: 0.1897)

Valid epoch:44, time: 167.258924(s), Recall (@2: 0.1337, @5: 0.2158, @10: 0.2898), NDCG (@2: 0.1162, @5: 0.1531, @10: 0.1770)
Test epoch:44, time: 167.258924(s), Recall (@2: 0.1445, @5: 0.2273, @10: 0.2980), NDCG (@2: 0.1272, @5: 0.1643, @10: 0.1871)

Valid epoch:46, time: 175.313878(s), Recall (@2: 0.1354, @5: 0.2132, @10: 0.2863), NDCG (@2: 0.1181, @5: 0.1532, @10: 0.1768)
Test epoch:46, time: 175.313878(s), Recall (@2: 0.1498, @5: 0.2316, @10: 0.3025), NDCG (@2: 0.1312, @5: 0.1680, @10: 0.1907)

Valid epoch:48, time: 183.439355(s), Recall (@2: 0.1326, @5: 0.2119, @10: 0.2863), NDCG (@2: 0.1163, @5: 0.1523, @10: 0.1764)
Test epoch:48, time: 183.439355(s), Recall (@2: 0.1462, @5: 0.2245, @10: 0.2926), NDCG (@2: 0.1294, @5: 0.1642, @10: 0.1862)

Valid epoch:50, time: 191.309361(s), Recall (@2: 0.1348, @5: 0.2111, @10: 0.2831), NDCG (@2: 0.1180, @5: 0.1521, @10: 0.1754)
Test epoch:50, time: 191.309361(s), Recall (@2: 0.1438, @5: 0.2184, @10: 0.2893), NDCG (@2: 0.1252, @5: 0.1584, @10: 0.1811)

Valid epoch:52, time: 199.425056(s), Recall (@2: 0.1361, @5: 0.2145, @10: 0.2881), NDCG (@2: 0.1183, @5: 0.1532, @10: 0.1770)
Test epoch:52, time: 199.425056(s), Recall (@2: 0.1496, @5: 0.2268, @10: 0.2962), NDCG (@2: 0.1313, @5: 0.1658, @10: 0.1883)

Valid epoch:54, time: 207.445745(s), Recall (@2: 0.1311, @5: 0.2132, @10: 0.2853), NDCG (@2: 0.1149, @5: 0.1519, @10: 0.1752)
Test epoch:54, time: 207.445745(s), Recall (@2: 0.1473, @5: 0.2188, @10: 0.2883), NDCG (@2: 0.1286, @5: 0.1605, @10: 0.1829)

Valid epoch:56, time: 215.367857(s), Recall (@2: 0.1361, @5: 0.2128, @10: 0.2844), NDCG (@2: 0.1188, @5: 0.1531, @10: 0.1762)
Test epoch:56, time: 215.367857(s), Recall (@2: 0.1488, @5: 0.2193, @10: 0.2919), NDCG (@2: 0.1298, @5: 0.1614, @10: 0.1848)

Valid epoch:58, time: 223.073757(s), Recall (@2: 0.1367, @5: 0.2165, @10: 0.2844), NDCG (@2: 0.1185, @5: 0.1542, @10: 0.1760)
Test epoch:58, time: 223.073757(s), Recall (@2: 0.1477, @5: 0.2208, @10: 0.2945), NDCG (@2: 0.1301, @5: 0.1631, @10: 0.1871)

Valid epoch:60, time: 231.352736(s), Recall (@2: 0.1365, @5: 0.2137, @10: 0.2844), NDCG (@2: 0.1176, @5: 0.1523, @10: 0.1750)
Test epoch:60, time: 231.352736(s), Recall (@2: 0.1447, @5: 0.2191, @10: 0.2919), NDCG (@2: 0.1279, @5: 0.1613, @10: 0.1848)

Valid epoch:62, time: 239.309269(s), Recall (@2: 0.1315, @5: 0.2119, @10: 0.2865), NDCG (@2: 0.1150, @5: 0.1514, @10: 0.1755)
Test epoch:62, time: 239.309269(s), Recall (@2: 0.1470, @5: 0.2204, @10: 0.2980), NDCG (@2: 0.1300, @5: 0.1628, @10: 0.1879)

Valid epoch:64, time: 247.457386(s), Recall (@2: 0.1352, @5: 0.2122, @10: 0.2799), NDCG (@2: 0.1178, @5: 0.1530, @10: 0.1748)
Test epoch:64, time: 247.457386(s), Recall (@2: 0.1447, @5: 0.2171, @10: 0.2863), NDCG (@2: 0.1270, @5: 0.1596, @10: 0.1817)

