dataset:four-sin
train_dir:default
batch_size:64
lr:0.001
maxlen:50
hidden_units:64
num_blocks:2
num_epochs:100
num_heads:1
dropout_rate:0.2
l2_emb:0.001
gpu:2
inference_only:False
state_dict_path:None
time_span:128
dis_span:128
kl_reg:1.0
anchor_num:500
layer_num:3
valid_epoch:2
device:cuda:2

Test epoch:74, time: 225.376658(s), Recall (@2: 0.1492, @5: 0.2335, @10: 0.3023), NDCG (@2: 0.1314, @5: 0.1692, @10: 0.1913)

Test epoch:76, time: 231.674325(s), Recall (@2: 0.1442, @5: 0.2184, @10: 0.2891), NDCG (@2: 0.1267, @5: 0.1602, @10: 0.1831)

Test epoch:78, time: 237.745688(s), Recall (@2: 0.1479, @5: 0.2279, @10: 0.2958), NDCG (@2: 0.1296, @5: 0.1651, @10: 0.1871)

Test epoch:80, time: 244.648681(s), Recall (@2: 0.1455, @5: 0.2270, @10: 0.2911), NDCG (@2: 0.1287, @5: 0.1653, @10: 0.1860)

Test epoch:82, time: 250.802466(s), Recall (@2: 0.1473, @5: 0.2257, @10: 0.2902), NDCG (@2: 0.1289, @5: 0.1641, @10: 0.1849)

Test epoch:84, time: 256.539703(s), Recall (@2: 0.1449, @5: 0.2223, @10: 0.2891), NDCG (@2: 0.1266, @5: 0.1613, @10: 0.1829)

Test epoch:86, time: 262.429638(s), Recall (@2: 0.1399, @5: 0.2204, @10: 0.2844), NDCG (@2: 0.1217, @5: 0.1574, @10: 0.1781)

Test epoch:88, time: 268.432216(s), Recall (@2: 0.1488, @5: 0.2229, @10: 0.2937), NDCG (@2: 0.1304, @5: 0.1640, @10: 0.1870)

Test epoch:90, time: 274.532527(s), Recall (@2: 0.1410, @5: 0.2201, @10: 0.2824), NDCG (@2: 0.1229, @5: 0.1586, @10: 0.1789)

Test epoch:92, time: 280.823494(s), Recall (@2: 0.1458, @5: 0.2191, @10: 0.2859), NDCG (@2: 0.1271, @5: 0.1599, @10: 0.1816)

Test epoch:94, time: 286.981431(s), Recall (@2: 0.1494, @5: 0.2266, @10: 0.2934), NDCG (@2: 0.1310, @5: 0.1656, @10: 0.1871)

Test epoch:96, time: 292.946625(s), Recall (@2: 0.1408, @5: 0.2160, @10: 0.2837), NDCG (@2: 0.1246, @5: 0.1581, @10: 0.1800)

Test epoch:98, time: 299.038326(s), Recall (@2: 0.1399, @5: 0.2130, @10: 0.2848), NDCG (@2: 0.1230, @5: 0.1556, @10: 0.1788)

Test epoch:100, time: 305.452078(s), Recall (@2: 0.1470, @5: 0.2193, @10: 0.2850), NDCG (@2: 0.1285, @5: 0.1609, @10: 0.1823)
